Age,Gender,Province,Institution,Extracurricular,same_province,knowledge,technical_knowledge,comfortable,comfy_issues,preferred,likes,dislikes,notes,beyond_learning,daily_usage,expenses_score,capable_family
mid,1,Western Province,government,1,0,30,10,0,0,0,5,0,1,1,1,10,1
mid,0,Central Province,government,0,0,30,20,0,0,1,3,1,-2,1,0,10,0
high,1,Southern Province,government,0,0,30,20,1,13,0,1,2,-2,0,0,10,1
high,0,Northern Province,government,1,0,20,20,0,0,1,2,2,-2,0,0,-10,1
mid,1,North Central Province,government,0,0,10,20,0,0,0,3,2,-2,0,0,-10,0
high,0,Eastern Province,government,0,1,30,20,0,0,1,3,0,0,0,0,-10,0
mid,0,Eastern Province,government,1,0,10,20,0,5,1,3,1,-2,1,0,-10,1
mid,0,North Western Province,government,0,0,30,20,0,0,0,2,1,-2,1,0,-10,0
mid,0,Central Province,government,1,0,20,20,0,0,1,3,0,1,1,1,10,1
mid,0,Sabaragamuwa Province,government,0,1,20,20,0,0,-1,2,1,1,1,0,10,1
mid,0,North Western Province,government,0,0,30,20,0,8,-1,2,2,0,0,0,20,1
high,0,Eastern Province,government,0,0,10,20,1,13,-1,0,4,-2,0,0,20,1
mid,0,Western Province,government,0,0,30,10,0,5,1,1,1,-2,0,0,20,1
mid,0,Eastern Province,government,1,0,30,20,1,8,1,3,0,-2,0,0,10,1
mid,1,Central Province,government,0,0,10,20,0,0,-1,1,2,1,0,0,10,1
mid,1,North Central Province,government,0,1,10,20,0,5,1,3,2,-2,0,0,20,1
mid,0,Western Province,government,0,1,30,20,0,0,1,1,1,-1,0,0,10,0
mid,0,North Central Province,government,1,0,30,20,0,0,1,3,1,-2,0,0,20,1
mid,0,North Western Province,government,0,1,30,10,0,0,1,3,0,1,0,0,20,1
mid,0,Uva Province,government,0,0,30,0,0,0,0,3,2,1,0,0,-10,1
mid,0,North Western Province,government,0,0,30,10,0,0,0,2,0,-2,1,0,20,1
mid,1,Eastern Province,government,0,0,30,20,1,13,1,3,1,1,1,0,10,1
mid,1,Southern Province,government,1,0,30,20,0,0,0,3,1,-2,0,0,10,1
mid,0,Eastern Province,government,0,0,30,20,0,0,1,3,1,-2,1,0,20,1
high,1,Western Province,government,1,1,20,20,0,0,-1,2,0,1,1,0,10,1
mid,0,Central Province,government,1,1,30,20,0,0,0,3,1,-2,0,0,10,0
mid,0,Western Province,government,1,0,10,20,0,0,1,2,1,0,1,0,20,1
